Time	Intensity
0.99	0.15
20.82	0.17
40.66	0.17
60.49	0.17
80.32	0.18
100.16	0.18
119.99	0.19
139.82	0.17
159.65	0.19
179.49	0.19
199.32	0.20
219.15	0.20
238.98	0.19
258.82	0.21
278.65	0.22
298.48	0.19
318.31	0.21
338.15	0.21
357.98	0.19
377.81	0.22
397.65	0.22
417.48	0.25
437.31	0.24
457.14	0.26
476.98	0.26
496.81	0.25
516.64	0.27
536.47	0.26
556.31	0.27
576.14	0.23
595.97	0.25
615.80	0.26
635.64	0.25
655.47	0.27
675.30	0.30
695.14	0.27
714.97	0.28
734.80	0.29
754.63	0.27
774.47	0.29
794.30	0.29
814.13	0.30
833.96	0.28
853.80	0.30
873.63	0.29
893.46	0.29
913.30	0.31
933.13	0.29
952.96	0.29
972.79	0.29
992.63	0.28
1012.46	0.30
1032.29	0.31
1052.12	0.31
1071.96	0.31
1091.79	0.30
1111.62	0.33
1131.45	0.32
1151.29	0.30
1171.12	0.33
1190.95	0.32
1210.79	0.31
1230.62	0.32
1250.45	0.33
1270.28	0.31
1290.12	0.35
1309.95	0.32
1329.78	0.30
1349.61	0.32
1369.45	0.33
1389.28	0.33
1409.11	0.34
1428.95	0.33
1448.78	0.33
1468.61	0.34
1488.44	0.34
1508.28	0.33
1528.11	0.35
1547.94	0.36
1567.77	0.33
1587.61	0.34
1607.44	0.33
1627.27	0.34
1647.10	0.36
1666.94	0.35
1686.77	0.36
1706.60	0.37
1726.44	0.36
1746.27	0.36
1766.10	0.36
1785.93	0.35
1805.77	0.36
1825.60	0.37
1845.43	0.37
1865.26	0.35
1885.10	0.35
1904.93	0.35
1924.76	0.36
1944.60	0.36
1964.43	0.35
1984.26	0.38
2004.09	0.38
2023.93	0.38
2043.76	0.39
2063.59	0.38
2083.42	0.38
2103.26	0.37
2123.09	0.39
2142.92	0.38
2162.75	0.38
2182.59	0.38
2202.42	0.37
2222.25	0.37
2242.09	0.39
2261.92	0.36
2281.75	0.39
2301.58	0.38
2321.42	0.39
2341.25	0.38
2361.08	0.38
2380.91	0.38
2400.75	0.40
2420.58	0.41
