Time(h)	Temp 1	Temp 2	Temp 3	SDEV	AVERAGE
1	36.5	36.8	36.4	0.18	36.6
2	36.7	36.7	35.9	0.45	36.5
3	36.9	36.1	37.2	0.56	36.7
4	37	36.3	36.5	0.37	36.6
5	37.2	36.6	36.1	0.57	36.6
6	37.2	36.6	36.5	0.36	36.8
7	37.3	37.2	37.2	0.07	37.2
8	37.3	36.1	36.4	0.63	36.6
9	37.4	36.6	37.3	0.43	37.1
10	37.4	36.6	36.9	0.42	37
11	37.4	36.3	37.1	0.59	36.9
12	37.4	37.3	36.7	0.36	37.2
13	37.4	37.1	36.7	0.37	37.1
14	37.4	36.4	36.2	0.65	36.7
15	37.4	36.5	37	0.45	37
16	37.3	36.9	36.2	0.55	36.8
17	37.3	35.9	36.9	0.71	36.7
18	37.3	36.8	36.2	0.57	36.8
19	37.2	36.6	36.1	0.56	36.6
20	37.2	36.8	36.1	0.57	36.7
21	37.2	36.4	36.4	0.45	36.7
22	37.1	37.1	37.1	0.04	37.1
23	37.1	37	36.9	0.12	37
24	37	37.2	36.5	0.36	36.9
25	37	36.3	36.6	0.35	36.6
26	36.9	36.3	37.4	0.54	36.9
27	36.8	36.3	36.7	0.28	36.6
28	36.8	37.3	36.5	0.38	36.9
29	36.7	36	35.9	0.43	36.2
30	36.7	35.9	36.7	0.45	36.5
31	36.6	36.6	36.4	0.14	36.5
32	36.5	36	36.7	0.36	36.4
33	36.4	36.1	36.8	0.35	36.5
34	36.4	37.3	36.3	0.53	36.6
35	36.3	37.2	37	0.5	36.9
36	36.2	36.3	37.2	0.56	36.6
37	36.2	37.2	37.1	0.57	36.9
38	36.1	36.2	37	0.49	36.4
39	36	36.7	36.6	0.39	36.4
40	35.9	37.3	36.7	0.7	36.6
41	35.9	37	36.6	0.56	36.5
42	35.9	37.3	37.3	0.81	36.8
43	36	36.6	36.2	0.29	36.3
44	36.1	36.7	36.1	0.32	36.3
45	36.3	37.3	37.3	0.58	37
46	36.5	36.3	37.2	0.44	36.7
47	36.7	35.9	36.7	0.45	36.5
48	36.9	36.5	36	0.46	36.5
49	37	36.7	37	0.17	36.9
50	37.1	37	36.5	0.31	36.9
51	37.2	36.8	36.3	0.43	36.8
52	37.3	37.3	37	0.18	37.2
53	37.3	36.6	36	0.64	36.6
54	37.4	36.6	37.2	0.44	37.1
55	37.4	36.1	37.4	0.75	37
56	37.4	36.1	36.9	0.63	36.8
57	37.4	36.2	36.3	0.65	36.7
58	37.4	36	36.7	0.7	36.7
59	37.4	36.7	37.3	0.4	37.1
60	37.4	36.6	36	0.69	36.7
61	37.3	36.1	36.4	0.64	36.6
62	37.3	37	37.2	0.15	37.2
63	37.3	36	36.1	0.72	36.5
64	37.3	36	36.9	0.69	36.7
65	37.2	36.6	37.4	0.41	37.1
66	37.2	36.8	37.2	0.24	37
67	37.1	37	36.5	0.33	36.8
68	37.1	36.4	36.9	0.37	36.8
69	37	36.1	36.1	0.52	36.4
70	37	37.2	36.9	0.18	37
71	36.9	36.6	36.4	0.24	36.6
72	36.9	37.3	36.2	0.57	36.8
73	36.8	36.3	36.6	0.23	36.6
74	36.7	37	36	0.51	36.6
75	36.7	36.6	37.1	0.25	36.8
76	36.6	36.3	37.2	0.45	36.7
77	36.5	36.9	36.2	0.33	36.5
78	36.5	36.5	36.4	0.03	36.5
79	36.4	36.1	36.4	0.19	36.3
80	36.3	36.9	36.1	0.43	36.4
81	36.2	37.3	36.4	0.57	36.6
82	36.2	36.2	36.9	0.4	36.4
83	36.1	36.5	37.3	0.58	36.6
84	36	36.8	36.9	0.47	36.5
85	36	35.9	36	0.06	36
86	35.9	36.7	36.1	0.42	36.3
87	35.9	36.1	36.8	0.45	36.3
88	36	36.1	36.3	0.13	36.1
89	36.1	36	36.4	0.18	36.2
90	36.3	36.9	36.1	0.43	36.4
91	36.4	36.4	36.8	0.25	36.5
92	36.7	37.1	36.9	0.23	36.9
93	36.9	36.2	37.3	0.55	36.8
94	37	36.9	37.1	0.08	37
95	37.1	37.2	36.8	0.21	37
96	37.2	36.6	37.2	0.34	37
97	37.3	36.6	36.4	0.48	36.8
98	37.3	36.6	36.5	0.42	36.8
99	37.4	37.2	36	0.77	36.9
100	37.4	36.4	35.9	0.76	36.6
101	37.4	36.6	36.8	0.41	36.9
102	37.4	37.4	37.2	0.09	37.3
103	37.4	36.3	36.3	0.61	36.7
104	37.4	37.3	36.1	0.71	36.9
105	37.4	36.6	37.3	0.41	37.1
106	37.4	36.8	36	0.68	36.8
107	37.3	36.5	36.1	0.59	36.7
108	37.3	35.9	36.3	0.71	36.5
109	37.3	37.2	36.4	0.5	36.9
110	37.2	37.4	36.4	0.49	37
111	37.2	36.5	36.7	0.37	36.8
112	37.1	37	37.3	0.16	37.2
113	37.1	36.5	36.6	0.34	36.7
114	37	36.5	36.8	0.24	36.8
115	37	35.9	36.2	0.55	36.4
116	36.9	37.1	36	0.62	36.7
117	36.9	37.2	36.2	0.5	36.8
118	36.8	36.6	37.2	0.33	36.9
119	36.8	36.4	37.1	0.34	36.8
120	36.7	36.8	36.3	0.27	36.6
121	36.6	36.2	36.1	0.24	36.3
122	36.5	36.9	36.7	0.21	36.7
123	36.5	36.1	37	0.46	36.5
124	36.4	36.1	36.3	0.16	36.3
125	36.3	36.6	36.6	0.16	36.5
126	36.3	36.2	36.1	0.1	36.2
127	36.2	36.8	36.3	0.31	36.4
128	36.1	36.2	36	0.09	36.1
129	36.1	36.6	36.3	0.23	36.3
130	36	36.9	36	0.48	36.3
131	35.9	36.8	36.2	0.47	36.3
132	35.9	36.7	37.1	0.6	36.6
133	35.9	36.5	36.7	0.41	36.4
134	36	36.6	37.3	0.64	36.6
135	36.1	36.3	36.9	0.42	36.4
136	36.3	36.6	36.8	0.25	36.6
137	36.6	36.1	37.4	0.64	36.7
138	36.8	36.3	36.1	0.35	36.4
139	36.9	37.1	36.9	0.12	37
140	37.1	36.3	37	0.41	36.8
141	37.2	36.5	37.1	0.39	36.9
142	37.3	36.5	36.4	0.5	36.7
143	37.3	36.5	37.1	0.42	37
144	37.4	36.7	37.2	0.36	37.1
145	37.4	37	36.9	0.29	37.1
146	37.4	36.8	36.3	0.57	36.8
147	37.4	36.1	37.2	0.69	36.9
148	37.4	35.9	36.5	0.75	36.6
149	37.4	37.2	37.1	0.14	37.2
150	37.4	36	36.8	0.72	36.7
151	37.4	37.2	36	0.73	36.9
152	37.4	36.2	36.6	0.6	36.7
153	37.3	36.6	36.6	0.4	36.8
154	37.3	36.6	37.3	0.39	37.1
155	37.2	36.1	37.2	0.63	36.8
156	37.2	36.7	36.8	0.28	36.9
157	37.2	37.3	36.8	0.27	37.1
158	37.1	36	36.9	0.56	36.7
159	37.1	36.2	36.2	0.53	36.5
160	37	36.6	36.5	0.26	36.7
161	37	36.7	36.2	0.39	36.7
162	36.9	36.3	37.2	0.5	36.8
163	36.8	36.8	36.1	0.37	36.6
164	36.8	36.4	36.4	0.22	36.6
165	36.7	36.3	37	0.35	36.6
166	36.7	36.3	37.1	0.42	36.7
167	36.6	36.1	37.1	0.52	36.6
168	36.5	36.8	37.1	0.28	36.8
169	36.4	36.4	36.5	0.03	36.4
170	36.4	36.7	37.3	0.44	36.8
171	36.3	36.4	36.7	0.24	36.5
172	36.2	37.2	36.7	0.5	36.7
173	36.2	36.4	36	0.21	36.2
174	36.1	36.3	36.7	0.32	36.4
175	36	36.9	36	0.49	36.3
176	35.9	36.3	36.4	0.27	36.2
177	35.9	36.4	37.4	0.75	36.5
178	35.9	37.3	36.2	0.71	36.5
179	35.9	37.2	36.2	0.69	36.4
180	36.1	36.2	36.8	0.4	36.4
181	36.2	36.6	36.5	0.23	36.5
182	36.4	36	37.3	0.68	36.6
183	36.6	36.2	37.2	0.48	36.6
184	36.8	36.3	36.7	0.27	36.6
185	37	36.5	37.3	0.38	36.9
186	37.1	37.1	36.4	0.4	36.9
187	37.2	36.3	36.4	0.49	36.6
188	37.3	36.5	37.3	0.44	37
189	37.3	37.1	36.6	0.36	37
190	37.4	37	36.5	0.48	36.9
191	37.4	36.1	36.9	0.65	36.8
192	37.4	37	37.2	0.23	37.2
193	37.4	36.8	36.5	0.45	36.9
194	37.4	37.2	36	0.75	36.9
195	37.4	36.3	36.5	0.59	36.7
196	37.4	36.4	35.9	0.76	36.6
197	37.4	35.9	36.7	0.75	36.7
198	37.3	36.9	37.1	0.21	37.1
199	37.3	37.2	36.2	0.63	36.9
200	37.3	36.8	35.9	0.69	36.7
201	37.2	37.3	36	0.68	36.8
202	37.2	36.4	36.3	0.48	36.6
203	37.1	36.3	36.8	0.43	36.7
204	37.1	37	37.1	0.08	37.1
205	37	37.2	36.9	0.13	37
206	37	36.9	37.1	0.12	37
207	36.9	36.1	36.3	0.43	36.4
208	36.9	36.7	36.4	0.27	36.7
209	36.8	36.6	36.8	0.11	36.8
210	36.8	36	36	0.45	36.3
211	36.7	36.4	37	0.33	36.7
212	36.6	37.3	36.1	0.57	36.7
213	36.5	36.5	36.5	0.05	36.5
