Time(h)	pH
0	7.55
0.000277778	7.55
0.000555556	7.54
0.000833333	7.55
0.001111111	7.55
0.001388889	7.55
0.001666667	7.55
0.001944444	7.55
0.002222222	7.54
0.0025	7.55
0.002777778	7.54
0.003055556	7.55
0.003333333	7.54
0.003611111	7.55
0.003888889	7.54
0.004166667	7.55
0.004444444	7.54
0.004722222	7.55
0.005	7.54
0.005277778	7.55
0.005555556	7.54
0.005833333	7.55
0.006111111	7.55
0.006388889	7.55
0.006666667	7.55
0.006944444	7.55
0.007222222	7.54
0.0075	7.55
0.007777778	7.54
0.008055556	7.55
0.008333333	7.54
0.008611111	7.55
0.008888889	7.54
0.009166667	7.55
0.009444444	7.54
0.009722222	7.55
0.01	7.55
0.010277778	7.55
0.010555556	7.55
0.010833333	7.55
0.011111111	7.55
0.011388889	7.55
0.011666667	7.55
0.011944444	7.55
0.012222222	7.55
0.0125	7.54
0.012777778	7.55
0.013055556	7.55
0.013333333	7.55
0.013611111	7.55
0.013888889	7.54
0.014166667	7.55
0.014444444	7.54
0.014722222	7.55
0.015	7.55
0.015277778	7.55
0.015555556	7.55
0.015833333	7.54
0.016111111	7.55
0.016388889	7.54
0.016666667	7.55
0.016944444	7.55
0.017222222	7.55
0.0175	7.55
0.017777778	7.54
0.018055556	7.55
0.018333333	7.54
0.018611111	7.55
0.018888889	7.54
0.019166667	7.55
0.019444444	7.55
0.019722222	7.55
0.02	7.55
0.020277778	7.54
0.020555556	7.55
0.020833333	7.54
0.021111111	7.55
0.021388889	7.54
0.021666667	7.55
0.021944444	7.54
0.022222222	7.55
0.0225	7.54
0.022777778	7.55
0.023055556	7.55
0.023333333	7.55
0.023611111	7.55
0.023888889	7.55
0.024166667	7.55
0.024444444	7.55
0.024722222	7.55
0.025	7.55
0.025277778	7.55
0.025555556	7.54
0.025833333	7.55
0.026111111	7.55
0.026388889	7.55
0.026666667	7.55
0.026944444	7.55
0.027222222	7.54
0.0275	7.55
0.027777778	7.55
0.028055556	7.55
0.028333333	7.55
0.028611111	7.55
0.028888889	7.55
0.029166667	7.54
0.029444444	7.55
0.029722222	7.54
0.03	7.55
0.030277778	7.54
0.030555556	7.55
0.030833333	7.54
0.031111111	7.55
0.031388889	7.54
0.031666667	7.55
0.031944444	7.55
0.032222222	7.55
0.0325	7.55
0.032777778	7.55
0.033055556	7.55
0.033333333	7.55
0.033611111	7.55
0.033888889	7.54
0.034166667	7.55
0.034444444	7.54
0.034722222	7.55
0.035	7.54
0.035277778	7.55
0.035555556	7.55
0.035833333	7.55
0.036111111	7.55
0.036388889	7.55
0.036666667	7.55
0.036944444	7.55
0.037222222	7.55
0.0375	7.55
0.037777778	7.55
0.038055556	7.55
0.038333333	7.55
